name,Water_Absorption_%,Hardness,Thermal_Conductivity_(mW/m.K),Plasticizer,Polymer_1,Toughener_1,Colorant,Stabilizer_1,Flame_retardant_1,Antioxidant,Metal_powder_1,Metal_powder_2,Metal_powder_3,Antistatic,Polymer_2,Stabilizer_2,Toughener_2,Clarifier_1,Clarifier_2,Clarifier_3,Polymer_3,Polymer_4,UV_absorber_1,UV_absorber_2,Flame_retardant_2,Polymer_5,Stabilizer_3,Filler_1,Filler_2,Toughener_3,Filler_3
Formula_86,2.878117881,81.71337147,7.066812791,0.003121728,0,0,0,0,0,0,0,0,0,0,0.026595843,0,0,0,0,0,0,0,0,0,0,0.970282429,0,0,0,0,0
Formula_75,2.062197098,104.665526,0.573218408,0.00563217,0,0,0,0,0.002233796,0.00045883,0,0.004997112,0,0,0.001984763,0,0.007316834,0,0,0,0,0,0,0,0.195458831,0.781458831,0.000458831,0,0,0,0
Formula_22,0.802354073,82.39396055,10.6173485,0,0.032868626,0,0,0,0,0,0.157995721,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186567826,0.622567826,0,0,0,0,0
Formula_13,1.215792616,120.6071535,25.38869095,0,0.006612872,0,0.00013921,0,0,0.00113921,0.282466138,0,0.003421249,0,0.026803689,0,0,0,0,0,0,0,0,0,0.19613921,0.48213921,0.00113921,0,0,0,0
Formula_96,1.813523402,108.4965153,1.904923668,0,0,0,0,0,0,0,0,0,0,0,0.049796768,0,0,0,0,0,0,0,0.138067744,0,0.188067744,0.624067744,0,0,0,0,0
Formula_3,1.920893933,114.8472827,20.5857019,0.015574878,0,0,0,0,0.002174169,0,0,0,0,0,0.004453172,0,0.009874006,0,0,0,0,0,0.293974591,0,0.193974591,0.479974591,0,0,0,0,0
Formula_42,1.474830183,114.1280033,22.60537669,0,0.064410665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133196445,0.183196445,0.619196445,0,0,0,0,0
Formula_44,2.60683388,60.83289023,1.35417664,0,0.962050062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037949938,0,0,0,0,0,0,0,0,0
Formula_70,1.662617307,87.44409157,17.52349389,0,0.34383365,0,0.002095996,0,0.147853853,0,0.403871408,0,0.0011531,0,0,0,0,0,0,0,0.098095997,0,0,0,0,0,0.003095997,0,0,0,0
Formula_100,1.780772059,74.78580024,11.24955826,0,0.799225628,0,0,0,0.14071585,0.002126592,0.015805337,0,0,0,0,0,0,0,0,0,0,0.042126592,0,0,0,0,0,0,0,0,0
Formula_67,2.67196577,90.96576892,1.830748277,0.0233832,0.412621622,0,0.00301528,0,0.152062435,0.00901528,0.309378835,0.002071951,0,0,0.027773504,0,0.007647332,0,0,0,0,0.04901528,0,0,0,0,0.00401528,0,0,0,0
