,,r2,MAE,RMSE
Water_Absorption_%,KNeighborsRegressor,"(0.31083786032245014, 0.5332347747111433)","(0.46349967522903335, 0.10624686246738269)","(0.33334613589287465, 0.13750608742396833)"
Water_Absorption_%,GaussianProcessRegressor,"(0.25912450386209124, 0.5839655159108056)","(0.431859816618017, 0.12098779129237697)","(0.3569444430416032, 0.29463433464670113)"
Water_Absorption_%,XGBRegressor,"(0.40053105829226865, 0.5377305310663619)","(0.4206001991456085, 0.0884599638951992)","(0.28113931278814114, 0.1377737371869807)"
Water_Absorption_%,RandomForestRegressor,"(0.43719208671262055, 0.5845596368787787)","(0.35340425250249996, 0.09385647107233329)","(0.24904718203517967, 0.13341365613734346)"
Water_Absorption_%,Ridge,"(0.009179006637088127, 0.9525947696488459)","(0.5294972622210843, 0.1327764510676789)","(0.532634374236722, 0.5682520189074808)"
Water_Absorption_%,Lasso,"(0.07097540274764866, 0.7150109618600345)","(0.5138600548182455, 0.13182977828074655)","(0.4774715319122458, 0.36117977221153597)"
Water_Absorption_%,ElasticNet,"(-0.003726777494311229, 0.9040177453622094)","(0.5193996637042837, 0.15238496589296008)","(0.5206952129009287, 0.5148466568157067)"
Hardness,KNeighborsRegressor,"(0.39379427334758826, 0.2971221106062551)","(12.401045802470582, 3.1943755006429293)","(314.187041259299, 223.38295444397)"
Hardness,GaussianProcessRegressor,"(0.49358100389342663, 0.2504844632431321)","(10.886746197263319, 2.7271610545287177)","(235.19105824391303, 125.44297572777688)"
Hardness,XGBRegressor,"(0.4051864043861185, 0.43924915492274763)","(13.111185568547295, 6.063263356073311)","(329.1083621013614, 291.93540348915457)"
Hardness,RandomForestRegressor,"(0.36839649227502863, 0.40365942440755115)","(12.782720554444122, 5.212709256707648)","(375.85939431749745, 442.5425014833901)"
Hardness,Ridge,"(-0.12895126502128829, 1.1472311336970273)","(16.172632272098255, 4.311322269830415)","(530.5903601512431, 402.11452848978854)"
Hardness,Lasso,"(0.2777842185024556, 0.41533467671608076)","(13.96122171800594, 4.280975078508189)","(357.5462158186401, 232.69400469486806)"
Hardness,ElasticNet,"(0.23265635347785088, 0.39439542456306775)","(14.401447283501927, 4.94453366130475)","(404.89699097311734, 324.2334124271259)"
Thermal_Conductivity_(mW/m.K),KNeighborsRegressor,"(-0.38269208715692304, 1.215330755227938)","(10.254797168449914, 6.85480177956722)","(257.96878257638633, 411.5352666931859)"
Thermal_Conductivity_(mW/m.K),GaussianProcessRegressor,"(0.011321116475066307, 0.47278019970522)","(9.082504584546172, 5.9588171633783595)","(219.4713219759016, 337.44973267365015)"
Thermal_Conductivity_(mW/m.K),XGBRegressor,"(0.2639195910981055, 0.36884404799240067)","(7.811617325713508, 5.708348836956803)","(215.29085621800215, 378.3356038662149)"
Thermal_Conductivity_(mW/m.K),RandomForestRegressor,"(-0.24379122544880918, 0.9109493539270369)","(9.165308127816191, 5.684131095198218)","(250.33269904031937, 400.54406287042195)"
Thermal_Conductivity_(mW/m.K),Ridge,"(-0.031726323415139465, 0.5801816065462932)","(9.259378634895274, 6.391603716555153)","(229.96701152327586, 373.3506668583258)"
Thermal_Conductivity_(mW/m.K),Lasso,"(-0.213008808277639, 0.46456632340098786)","(9.947461550416659, 5.7934226467876515)","(261.90544223437576, 419.34908961126973)"
Thermal_Conductivity_(mW/m.K),ElasticNet,"(0.047055185456447914, 0.5981906379387496)","(8.437383523223133, 6.551226304145357)","(241.56920641268462, 428.59875549442637)"
