,,r2,MAE,RMSE
Water_Absorption_%,KNeighborsRegressor,"(0.2666662392946087, 0.7081911991043016)","(0.47478788773907993, 0.13482920484927688)","(0.3445080190048001, 0.15611203047727162)"
Water_Absorption_%,GaussianProcessRegressor,"(0.4336251638156853, 0.4667660339817418)","(0.37590781001353013, 0.0846573681944662)","(0.24747639556273535, 0.11553939984376434)"
Water_Absorption_%,XGBRegressor,"(0.3661621333349248, 0.5544817016226823)","(0.43964671448678816, 0.09884504423320399)","(0.29773350124661363, 0.15353428802014787)"
Water_Absorption_%,RandomForestRegressor,"(0.49826712103993354, 0.47173243126455766)","(0.3585169784161509, 0.07914862473537687)","(0.2313332055958651, 0.09527411824763575)"
Water_Absorption_%,Ridge,"(0.17626782171310806, 0.5441097147084188)","(0.5100801605445672, 0.10084139633709811)","(0.42304572089097653, 0.24522248286412368)"
Water_Absorption_%,Lasso,"(-4.4895844473780146e-05, 0.8971341075085625)","(0.5261498835319303, 0.17724616960977232)","(0.5199306862830053, 0.50327548152542)"
Water_Absorption_%,ElasticNet,"(0.1849144836527174, 0.5562616350070354)","(0.5052554043199725, 0.14074109441633)","(0.4079632400499011, 0.22406171890813506)"
Hardness,KNeighborsRegressor,"(0.40789286618449694, 0.27832242585409794)","(12.188031400257497, 3.8286638637229307)","(324.6205114786377, 245.41571917914294)"
Hardness,GaussianProcessRegressor,"(0.5040525687768179, 0.2898510957732645)","(11.04851690039447, 2.483394883492194)","(223.40249485229432, 109.3531461548394)"
Hardness,XGBRegressor,"(0.3659052075303425, 0.5106225527651567)","(13.293067132473391, 7.132974021283655)","(399.0096951232891, 437.77836679478173)"
Hardness,RandomForestRegressor,"(0.3303758410189885, 0.5515639717249741)","(13.034672654562437, 5.280106857228606)","(383.7740545786428, 478.23308471805086)"
Hardness,Ridge,"(0.08397444646735179, 0.5198813436334321)","(15.44751346974914, 4.186371392278772)","(471.97090918575776, 323.80250981370517)"
Hardness,Lasso,"(0.42130663527300294, 0.34271035891686175)","(12.132521844570217, 4.4218539463190005)","(291.0727378758323, 205.589602971098)"
Hardness,ElasticNet,"(0.3550634430457205, 0.3326574855852437)","(13.003539373779319, 4.527178453750723)","(334.43213048848025, 245.4420404383279)"
Thermal_Conductivity_(mW/m.K),KNeighborsRegressor,"(-0.2995127583243352, 0.9913055340680869)","(10.157463118693432, 6.503162560071732)","(252.04385391690911, 380.10693402130283)"
Thermal_Conductivity_(mW/m.K),GaussianProcessRegressor,"(0.015945393763688153, 0.5032876697001272)","(9.059889206658017, 5.963771200132063)","(224.84141189823694, 356.2924856141522)"
Thermal_Conductivity_(mW/m.K),XGBRegressor,"(0.25915314460829886, 0.35408722406017634)","(7.792650748404992, 5.698149400140619)","(214.36515476096665, 374.63474660966614)"
Thermal_Conductivity_(mW/m.K),RandomForestRegressor,"(-0.35301796648252204, 0.9868379661645016)","(9.670492737598732, 5.684089432451093)","(259.2252909176236, 391.86422697910336)"
Thermal_Conductivity_(mW/m.K),Ridge,"(-0.023352836863745542, 0.5824619261106986)","(9.114403667401813, 6.186853081234371)","(226.82747930569153, 371.0810155528656)"
Thermal_Conductivity_(mW/m.K),Lasso,"(-0.21301266351554143, 0.4645761271008907)","(9.947469198121583, 5.793416263036369)","(261.9055305609781, 419.3490443776005)"
Thermal_Conductivity_(mW/m.K),ElasticNet,"(0.04674405639803765, 0.599679122678388)","(8.436896973814052, 6.536182311805976)","(241.43720461265815, 428.58902449404087)"
