,,r2,neg_mean_absolute_error,neg_root_mean_squared_error
Water_Absorption_%,NeuralNetRegressor,"(-9.815285102202797, 7.701270248947315)","(2.0631439494383894, 0.2798501345590668)","(4.952072580667093, 1.145559946294711)"
Water_Absorption_%,KNeighborsRegressor,"(0.3915562784835544, 0.5220509542623567)","(0.41653958858755014, 0.09147639492206802)","(0.2787116698772995, 0.11025615458856654)"
Water_Absorption_%,GaussianProcessRegressor,"(0.5515412013815011, 0.39758428618297315)","(0.31737801606096544, 0.10235460229856051)","(0.19492190212641672, 0.1566617560107833)"
Water_Absorption_%,XGBRegressor,"(0.4493555245212638, 0.4949334967607417)","(0.39476882264026647, 0.10169962798515725)","(0.2583519177322629, 0.15304573433860114)"
Water_Absorption_%,RandomForestRegressor,"(0.34098680809548887, 0.9093107347153454)","(0.38764287409709564, 0.1100840810826292)","(0.273676099787335, 0.18458664073488812)"
Water_Absorption_%,Ridge,"(0.2515946335886718, 0.5722198020992535)","(0.45179542267080286, 0.12824825877724005)","(0.354074099134042, 0.20424648917560645)"
Water_Absorption_%,Lasso,"(0.15176809234123606, 0.6345621424743639)","(0.47463978871854734, 0.08855682967428598)","(0.40553645538010896, 0.25319865585207146)"
Water_Absorption_%,ElasticNet,"(0.38148022541752025, 0.5404041453323652)","(0.4068235780628294, 0.096591429674512)","(0.28284283219310347, 0.14951089483232552)"
Hardness,NeuralNetRegressor,"(-35.617580017398524, 23.338917031617523)","(117.07246495720794, 11.109822625380552)","(14353.932046744263, 2321.0787898013396)"
Hardness,KNeighborsRegressor,"(0.5352867548993391, 0.25633026971242223)","(11.613755365654942, 4.5718739241642075)","(257.3837378824326, 184.96132317849205)"
Hardness,GaussianProcessRegressor,"(0.6462736684325014, 0.20309278282433305)","(9.571142043761066, 2.822511169165342)","(171.03651446088907, 102.60152383033267)"
Hardness,XGBRegressor,"(0.48461053806850946, 0.40889890023109116)","(11.995875604254257, 5.803864475038738)","(290.6736223554507, 260.7817045039133)"
Hardness,RandomForestRegressor,"(0.5145312275945538, 0.3624730154389739)","(11.687282376208412, 5.096749747251011)","(299.51591344819496, 380.9464824204805)"
Hardness,Ridge,"(0.27866260304249135, 0.3949916195789186)","(13.655179989657503, 4.040218980689611)","(367.4382546302534, 300.8734950316731)"
Hardness,Lasso,"(0.40678494152460914, 0.26526520130971665)","(12.808799734202585, 3.3589031728929504)","(299.0096555842769, 189.00102989390916)"
Hardness,ElasticNet,"(0.23746920062312832, 0.545279936269211)","(13.282620812676608, 3.5727966763288435)","(367.1528149481534, 246.88648989648414)"
Thermal_Conductivity_(mW/m.K),NeuralNetRegressor,"(-2.158977696891674, 1.5718892944775968)","(14.950058974680818, 6.838592194407621)","(514.1171069793562, 634.9573006999825)"
Thermal_Conductivity_(mW/m.K),KNeighborsRegressor,"(-0.16497468131613163, 1.3527844321048863)","(9.171928129694042, 6.714285315903711)","(245.24274716334403, 396.1220312348291)"
Thermal_Conductivity_(mW/m.K),GaussianProcessRegressor,"(-0.9609364154340987, 2.195958057746779)","(11.274923263521835, 5.6199309184651955)","(280.2083317127277, 342.8079503347891)"
Thermal_Conductivity_(mW/m.K),XGBRegressor,"(0.13854751976217533, 0.32873289043919524)","(8.172641296394458, 5.731512068640534)","(229.51824155537906, 369.1243494632259)"
Thermal_Conductivity_(mW/m.K),RandomForestRegressor,"(-0.0003120160727054233, 0.5694433998129719)","(8.402986640628605, 4.752032290637297)","(190.81600146661012, 280.9809085046204)"
Thermal_Conductivity_(mW/m.K),Ridge,"(-0.18702551233732995, 0.891902650545333)","(8.940131320344824, 5.427861792411269)","(195.04367556707408, 283.8672740281951)"
Thermal_Conductivity_(mW/m.K),Lasso,"(-0.36210367491111617, 0.6969648668464128)","(10.433692733021633, 5.201257281387994)","(244.20174103889016, 354.640311258379)"
Thermal_Conductivity_(mW/m.K),ElasticNet,"(-0.038910444279090003, 0.6727525683824478)","(8.784219230989695, 6.200291660142875)","(225.11945109360605, 371.79249035109615)"
