,,r2,MAE,RMSE
Water_Absorption_%,KNeighborsRegressor,"(0.436, 0.352)","(0.412, 0.081)","(0.275, 0.101)"
Water_Absorption_%,GaussianProcessRegressor,"(0.372, 0.525)","(0.377, 0.111)","(0.303, 0.276)"
Water_Absorption_%,XGBRegressor,"(0.386, 0.516)","(0.422, 0.077)","(0.288, 0.15)"
Water_Absorption_%,RandomForestRegressor,"(0.233, 0.929)","(0.41, 0.095)","(0.308, 0.166)"
Water_Absorption_%,Ridge,"(0.42, 0.49)","(0.387, 0.127)","(0.27, 0.151)"
Water_Absorption_%,Lasso,"(-0.394, 1.553)","(0.506, 0.124)","(0.503, 0.311)"
Water_Absorption_%,ElasticNet,"(0.078, 0.799)","(0.481, 0.068)","(0.374, 0.122)"
Hardness,KNeighborsRegressor,"(0.501, 0.256)","(12.009, 4.092)","(252.245, 158.915)"
Hardness,GaussianProcessRegressor,"(0.364, 0.487)","(12.815, 4.673)","(341.381, 263.239)"
Hardness,XGBRegressor,"(0.441, 0.393)","(12.599, 5.269)","(304.123, 259.238)"
Hardness,RandomForestRegressor,"(0.458, 0.395)","(11.991, 4.48)","(304.588, 355.232)"
Hardness,Ridge,"(0.466, 0.257)","(12.292, 3.344)","(288.536, 215.573)"
Hardness,Lasso,"(-0.106, 1.677)","(13.777, 5.312)","(515.922, 625.096)"
Hardness,ElasticNet,"(0.399, 0.271)","(12.709, 3.278)","(315.815, 209.954)"
Thermal_Conductivity_(mW/m.K),KNeighborsRegressor,"(-0.793, 1.229)","(11.069, 5.848)","(267.183, 358.972)"
Thermal_Conductivity_(mW/m.K),GaussianProcessRegressor,"(-0.373, 0.348)","(11.066, 5.935)","(301.148, 473.528)"
Thermal_Conductivity_(mW/m.K),XGBRegressor,"(0.153, 0.34)","(8.081, 5.703)","(224.378, 358.964)"
Thermal_Conductivity_(mW/m.K),RandomForestRegressor,"(-0.326, 1.32)","(8.82, 5.198)","(240.09, 348.469)"
Thermal_Conductivity_(mW/m.K),Ridge,"(-0.404, 0.394)","(11.349, 6.55)","(300.627, 466.862)"
Thermal_Conductivity_(mW/m.K),Lasso,"(-0.213, 0.275)","(10.559, 5.932)","(265.457, 440.029)"
Thermal_Conductivity_(mW/m.K),ElasticNet,"(-0.405, 0.395)","(11.356, 6.538)","(300.753, 467.229)"
