,,r2,MAE,RMSE
Water_Absorption_%,KNeighborsRegressor,"(0.327, 0.472)","(0.47, 0.092)","(0.334, 0.158)"
Water_Absorption_%,GaussianProcessRegressor,"(0.319, 0.503)","(0.438, 0.135)","(0.373, 0.313)"
Water_Absorption_%,XGBRegressor,"(0.272, 0.902)","(0.414, 0.097)","(0.311, 0.206)"
Water_Absorption_%,RandomForestRegressor,"(0.474, 0.448)","(0.361, 0.099)","(0.235, 0.113)"
Water_Absorption_%,Ridge,"(0.134, 0.676)","(0.52, 0.116)","(0.453, 0.374)"
Water_Absorption_%,Lasso,"(0.18, 0.67)","(0.483, 0.122)","(0.412, 0.321)"
Water_Absorption_%,ElasticNet,"(0.194, 0.738)","(0.463, 0.128)","(0.403, 0.387)"
Hardness,KNeighborsRegressor,"(0.569, 0.226)","(11.427, 3.202)","(219.246, 139.478)"
Hardness,GaussianProcessRegressor,"(0.506, 0.34)","(11.17, 3.21)","(228.1, 148.769)"
Hardness,XGBRegressor,"(0.436, 0.426)","(12.709, 5.758)","(304.746, 273.095)"
Hardness,RandomForestRegressor,"(0.548, 0.261)","(11.292, 3.935)","(232.36, 164.204)"
Hardness,Ridge,"(0.198, 0.423)","(14.542, 4.077)","(411.71, 288.566)"
Hardness,Lasso,"(-0.417, 1.752)","(16.492, 3.756)","(626.765, 636.527)"
Hardness,ElasticNet,"(0.313, 0.275)","(14.097, 4.397)","(363.927, 253.255)"
Thermal_Conductivity_(mW/m.K),KNeighborsRegressor,"(-0.687, 0.873)","(11.216, 6.513)","(288.165, 414.775)"
Thermal_Conductivity_(mW/m.K),GaussianProcessRegressor,"(-0.462, 0.51)","(10.864, 6.776)","(305.97, 473.909)"
Thermal_Conductivity_(mW/m.K),XGBRegressor,"(-0.151, 0.372)","(9.815, 5.053)","(205.018, 259.343)"
Thermal_Conductivity_(mW/m.K),RandomForestRegressor,"(-0.845, 1.166)","(11.3, 5.464)","(285.417, 393.993)"
Thermal_Conductivity_(mW/m.K),Ridge,"(-0.501, 0.625)","(11.215, 6.452)","(285.246, 421.81)"
Thermal_Conductivity_(mW/m.K),Lasso,"(-0.405, 0.396)","(11.36, 6.535)","(300.74, 467.232)"
Thermal_Conductivity_(mW/m.K),ElasticNet,"(-0.399, 0.366)","(11.36, 6.541)","(300.527, 466.881)"
