,,r2,MAE,RMSE
Water_Absorption_%,KNeighborsRegressor,"(0.263, 0.592)","(0.453, 0.135)","(0.343, 0.18)"
Water_Absorption_%,GaussianProcessRegressor,"(0.334, 0.599)","(0.416, 0.122)","(0.33, 0.285)"
Water_Absorption_%,XGBRegressor,"(0.37, 0.526)","(0.431, 0.088)","(0.294, 0.146)"
Water_Absorption_%,RandomForestRegressor,"(0.333, 0.915)","(0.386, 0.115)","(0.273, 0.176)"
Water_Absorption_%,Ridge,"(0.105, 1.299)","(0.397, 0.136)","(0.324, 0.291)"
Water_Absorption_%,Lasso,"(-0.358, 1.442)","(0.518, 0.123)","(0.515, 0.273)"
Water_Absorption_%,ElasticNet,"(-0.195, 1.263)","(0.507, 0.075)","(0.463, 0.229)"
Hardness,KNeighborsRegressor,"(0.495, 0.21)","(11.616, 3.459)","(258.163, 142.949)"
Hardness,GaussianProcessRegressor,"(0.517, 0.211)","(11.869, 3.631)","(251.716, 151.317)"
Hardness,XGBRegressor,"(0.482, 0.435)","(11.815, 6.235)","(293.947, 272.889)"
Hardness,RandomForestRegressor,"(0.551, 0.281)","(11.071, 3.929)","(226.602, 157.389)"
Hardness,Ridge,"(0.501, 0.282)","(11.558, 4.166)","(254.467, 169.506)"
Hardness,Lasso,"(0.523, 0.248)","(11.505, 4.306)","(243.535, 156.984)"
Hardness,ElasticNet,"(0.484, 0.27)","(11.89, 3.916)","(263.253, 171.661)"
Thermal_Conductivity_(mW/m.K),KNeighborsRegressor,"(-0.879, 1.145)","(11.731, 6.12)","(310.12, 440.77)"
Thermal_Conductivity_(mW/m.K),GaussianProcessRegressor,"(-0.371, 0.353)","(11.291, 6.564)","(300.588, 470.137)"
Thermal_Conductivity_(mW/m.K),XGBRegressor,"(0.147, 0.329)","(8.127, 5.653)","(224.782, 358.389)"
Thermal_Conductivity_(mW/m.K),RandomForestRegressor,"(-0.079, 0.731)","(8.732, 5.074)","(199.251, 331.808)"
Thermal_Conductivity_(mW/m.K),Ridge,"(-0.403, 0.393)","(11.359, 6.541)","(300.642, 466.975)"
Thermal_Conductivity_(mW/m.K),Lasso,"(-0.213, 0.272)","(10.613, 6.049)","(264.889, 432.479)"
Thermal_Conductivity_(mW/m.K),ElasticNet,"(-0.404, 0.395)","(11.357, 6.537)","(300.74, 467.234)"
