,,r2,MAE,RMSE
Water_Absorption_%,KNeighborsRegressor,"(0.346, 0.475)","(0.431, 0.163)","(0.338, 0.22)"
Water_Absorption_%,GaussianProcessRegressor,"(0.235, 0.583)","(0.454, 0.123)","(0.373, 0.274)"
Water_Absorption_%,XGBRegressor,"(0.311, 0.9)","(0.395, 0.083)","(0.29, 0.199)"
Water_Absorption_%,RandomForestRegressor,"(0.327, 0.826)","(0.39, 0.093)","(0.284, 0.16)"
Water_Absorption_%,Ridge,"(0.026, 1.275)","(0.438, 0.119)","(0.375, 0.271)"
Water_Absorption_%,Lasso,"(-0.358, 1.442)","(0.518, 0.123)","(0.515, 0.273)"
Water_Absorption_%,ElasticNet,"(-0.216, 1.293)","(0.51, 0.074)","(0.47, 0.236)"
Hardness,KNeighborsRegressor,"(0.497, 0.233)","(11.51, 3.835)","(260.298, 156.427)"
Hardness,GaussianProcessRegressor,"(0.531, 0.23)","(11.744, 3.405)","(236.896, 142.699)"
Hardness,XGBRegressor,"(0.469, 0.403)","(12.024, 5.779)","(287.822, 254.489)"
Hardness,RandomForestRegressor,"(0.432, 0.459)","(12.379, 5.269)","(290.346, 221.524)"
Hardness,Ridge,"(0.494, 0.279)","(11.615, 4.112)","(262.578, 181.751)"
Hardness,Lasso,"(0.523, 0.248)","(11.505, 4.306)","(243.535, 156.984)"
Hardness,ElasticNet,"(0.478, 0.276)","(11.966, 3.853)","(265.178, 171.558)"
Thermal_Conductivity_(mW/m.K),KNeighborsRegressor,"(-0.871, 1.168)","(11.51, 5.981)","(303.934, 420.582)"
Thermal_Conductivity_(mW/m.K),GaussianProcessRegressor,"(-0.371, 0.353)","(11.289, 6.562)","(300.562, 470.117)"
Thermal_Conductivity_(mW/m.K),XGBRegressor,"(-0.158, 0.345)","(9.833, 5.191)","(216.381, 290.04)"
Thermal_Conductivity_(mW/m.K),RandomForestRegressor,"(-0.683, 1.174)","(10.329, 5.157)","(237.263, 294.925)"
Thermal_Conductivity_(mW/m.K),Ridge,"(-0.404, 0.393)","(11.359, 6.541)","(300.643, 466.975)"
Thermal_Conductivity_(mW/m.K),Lasso,"(-0.405, 0.396)","(11.36, 6.535)","(300.74, 467.232)"
Thermal_Conductivity_(mW/m.K),ElasticNet,"(-0.404, 0.395)","(11.357, 6.537)","(300.74, 467.234)"
