,,r2,MAE,RMSE
Water_Absorption_%,KNeighborsRegressor,"(0.404, 0.404)","(0.412, 0.074)","(0.282, 0.11)"
Water_Absorption_%,GaussianProcessRegressor,"(0.514, 0.368)","(0.357, 0.109)","(0.238, 0.17)"
Water_Absorption_%,XGBRegressor,"(0.37, 0.526)","(0.431, 0.088)","(0.294, 0.146)"
Water_Absorption_%,RandomForestRegressor,"(0.327, 0.908)","(0.396, 0.1)","(0.276, 0.172)"
Water_Absorption_%,Ridge,"(0.238, 0.521)","(0.475, 0.108)","(0.381, 0.202)"
Water_Absorption_%,Lasso,"(0.176, 0.679)","(0.473, 0.107)","(0.411, 0.318)"
Water_Absorption_%,ElasticNet,"(0.362, 0.538)","(0.417, 0.102)","(0.298, 0.164)"
Hardness,KNeighborsRegressor,"(0.593, 0.253)","(10.589, 4.207)","(237.863, 244.553)"
Hardness,GaussianProcessRegressor,"(0.47, 0.473)","(11.164, 4.084)","(252.464, 237.085)"
Hardness,XGBRegressor,"(0.475, 0.44)","(11.832, 6.253)","(296.655, 275.249)"
Hardness,RandomForestRegressor,"(0.546, 0.282)","(11.326, 4.259)","(234.805, 178.271)"
Hardness,Ridge,"(0.194, 0.433)","(14.511, 4.224)","(414.912, 300.542)"
Hardness,Lasso,"(0.38, 0.287)","(13.195, 3.575)","(309.369, 186.328)"
Hardness,ElasticNet,"(0.163, 0.715)","(13.964, 4.167)","(389.851, 271.575)"
Thermal_Conductivity_(mW/m.K),KNeighborsRegressor,"(-0.0, 0.727)","(9.499, 6.807)","(265.546, 458.483)"
Thermal_Conductivity_(mW/m.K),GaussianProcessRegressor,"(-0.658, 2.07)","(10.23, 6.806)","(304.167, 456.758)"
Thermal_Conductivity_(mW/m.K),XGBRegressor,"(0.147, 0.329)","(8.127, 5.653)","(224.782, 358.389)"
Thermal_Conductivity_(mW/m.K),RandomForestRegressor,"(-0.108, 0.717)","(8.943, 5.372)","(221.194, 350.1)"
Thermal_Conductivity_(mW/m.K),Ridge,"(-0.083, 0.593)","(9.225, 6.356)","(240.918, 426.989)"
Thermal_Conductivity_(mW/m.K),Lasso,"(-0.053, 0.629)","(9.124, 6.198)","(239.485, 433.459)"
Thermal_Conductivity_(mW/m.K),ElasticNet,"(0.05, 0.526)","(8.736, 6.618)","(243.681, 439.969)"
