,,r2,MAE,RMSE
Water_Absorption_%,KNeighborsRegressor,"(0.391, 0.409)","(0.451, 0.087)","(0.305, 0.108)"
Water_Absorption_%,GaussianProcessRegressor,"(0.449, 0.254)","(0.414, 0.105)","(0.303, 0.168)"
Water_Absorption_%,XGBRegressor,"(0.311, 0.9)","(0.395, 0.083)","(0.29, 0.199)"
Water_Absorption_%,RandomForestRegressor,"(0.32, 0.824)","(0.391, 0.097)","(0.291, 0.164)"
Water_Absorption_%,Ridge,"(0.134, 0.65)","(0.524, 0.114)","(0.445, 0.333)"
Water_Absorption_%,Lasso,"(0.187, 0.656)","(0.483, 0.122)","(0.407, 0.309)"
Water_Absorption_%,ElasticNet,"(0.209, 0.687)","(0.471, 0.133)","(0.396, 0.348)"
Hardness,KNeighborsRegressor,"(0.445, 0.294)","(12.384, 4.147)","(320.265, 328.012)"
Hardness,GaussianProcessRegressor,"(0.419, 0.344)","(12.486, 4.277)","(298.875, 239.962)"
Hardness,XGBRegressor,"(0.466, 0.405)","(11.994, 5.79)","(288.988, 255.207)"
Hardness,RandomForestRegressor,"(0.437, 0.456)","(12.358, 5.257)","(287.459, 219.876)"
Hardness,Ridge,"(0.126, 0.526)","(13.97, 3.175)","(405.631, 232.121)"
Hardness,Lasso,"(0.359, 0.327)","(13.206, 3.388)","(312.321, 182.92)"
Hardness,ElasticNet,"(0.184, 0.383)","(14.079, 3.446)","(392.196, 217.784)"
Thermal_Conductivity_(mW/m.K),KNeighborsRegressor,"(-0.81, 1.19)","(11.53, 6.462)","(304.697, 421.349)"
Thermal_Conductivity_(mW/m.K),GaussianProcessRegressor,"(-0.524, 0.703)","(11.323, 6.624)","(311.262, 471.716)"
Thermal_Conductivity_(mW/m.K),XGBRegressor,"(-0.158, 0.345)","(9.833, 5.191)","(216.381, 290.04)"
Thermal_Conductivity_(mW/m.K),RandomForestRegressor,"(-0.666, 1.161)","(10.284, 5.119)","(237.364, 299.846)"
Thermal_Conductivity_(mW/m.K),Ridge,"(-0.488, 0.601)","(11.176, 6.434)","(283.915, 422.857)"
Thermal_Conductivity_(mW/m.K),Lasso,"(-0.405, 0.396)","(11.36, 6.535)","(300.74, 467.232)"
Thermal_Conductivity_(mW/m.K),ElasticNet,"(-0.398, 0.367)","(11.356, 6.542)","(300.436, 466.914)"
