,,r2,MAE,RMSE
Water_Absorption_%,KNeighborsRegressor,"(0.4, 0.47)","(0.407, 0.079)","(0.271, 0.098)"
Water_Absorption_%,GaussianProcessRegressor,"(0.317, 0.629)","(0.382, 0.127)","(0.315, 0.264)"
Water_Absorption_%,XGBRegressor,"(0.317, 0.819)","(0.407, 0.086)","(0.301, 0.189)"
Water_Absorption_%,RandomForestRegressor,"(0.33, 0.844)","(0.383, 0.094)","(0.269, 0.161)"
Water_Absorption_%,Ridge,"(-0.052, 1.133)","(0.448, 0.108)","(0.402, 0.214)"
Water_Absorption_%,Lasso,"(-0.423, 1.569)","(0.502, 0.12)","(0.512, 0.31)"
Water_Absorption_%,ElasticNet,"(-0.142, 1.076)","(0.536, 0.107)","(0.476, 0.201)"
Hardness,KNeighborsRegressor,"(0.508, 0.244)","(11.883, 3.627)","(256.467, 175.845)"
Hardness,GaussianProcessRegressor,"(0.575, 0.331)","(11.146, 4.44)","(220.528, 191.121)"
Hardness,XGBRegressor,"(0.402, 0.409)","(12.5, 5.944)","(350.342, 358.282)"
Hardness,RandomForestRegressor,"(0.51, 0.347)","(11.63, 4.435)","(256.221, 208.583)"
Hardness,Ridge,"(0.402, 0.297)","(12.244, 3.28)","(300.374, 174.042)"
Hardness,Lasso,"(0.531, 0.245)","(11.558, 4.167)","(242.838, 164.897)"
Hardness,ElasticNet,"(0.481, 0.239)","(12.033, 3.727)","(267.688, 171.066)"
Thermal_Conductivity_(mW/m.K),KNeighborsRegressor,"(-1.083, 1.174)","(12.085, 5.973)","(325.203, 428.335)"
Thermal_Conductivity_(mW/m.K),GaussianProcessRegressor,"(-0.397, 0.373)","(11.4, 6.596)","(302.694, 469.609)"
Thermal_Conductivity_(mW/m.K),XGBRegressor,"(-0.157, 0.366)","(9.797, 5.001)","(204.898, 259.019)"
Thermal_Conductivity_(mW/m.K),RandomForestRegressor,"(-0.846, 1.349)","(10.892, 5.282)","(258.467, 332.556)"
Thermal_Conductivity_(mW/m.K),Ridge,"(-0.401, 0.389)","(11.349, 6.551)","(300.481, 466.916)"
Thermal_Conductivity_(mW/m.K),Lasso,"(-0.405, 0.396)","(11.36, 6.535)","(300.74, 467.232)"
Thermal_Conductivity_(mW/m.K),ElasticNet,"(-0.405, 0.395)","(11.356, 6.538)","(300.752, 467.23)"
