,,r2,MAE,RMSE
Water_Absorption_%,KNeighborsRegressor,"(0.241, 0.657)","(0.453, 0.144)","(0.345, 0.207)"
Water_Absorption_%,GaussianProcessRegressor,"(0.424, 0.445)","(0.379, 0.095)","(0.282, 0.215)"
Water_Absorption_%,XGBRegressor,"(0.378, 0.514)","(0.424, 0.085)","(0.291, 0.141)"
Water_Absorption_%,RandomForestRegressor,"(0.318, 0.928)","(0.386, 0.105)","(0.279, 0.181)"
Water_Absorption_%,Ridge,"(-0.0, 1.092)","(0.429, 0.114)","(0.373, 0.222)"
Water_Absorption_%,Lasso,"(-0.205, 1.288)","(0.477, 0.112)","(0.446, 0.248)"
Water_Absorption_%,ElasticNet,"(0.031, 0.956)","(0.473, 0.077)","(0.389, 0.179)"
Hardness,KNeighborsRegressor,"(0.477, 0.214)","(11.588, 2.286)","(249.799, 113.51)"
Hardness,GaussianProcessRegressor,"(0.522, 0.237)","(11.78, 4.023)","(257.666, 173.822)"
Hardness,XGBRegressor,"(0.49, 0.416)","(12.139, 5.874)","(292.924, 272.474)"
Hardness,RandomForestRegressor,"(0.572, 0.241)","(11.139, 4.293)","(235.857, 180.412)"
Hardness,Ridge,"(0.5, 0.277)","(11.61, 4.178)","(259.057, 176.959)"
Hardness,Lasso,"(0.51, 0.253)","(11.691, 4.384)","(254.861, 172.721)"
Hardness,ElasticNet,"(0.469, 0.27)","(12.036, 3.871)","(271.446, 176.155)"
Thermal_Conductivity_(mW/m.K),KNeighborsRegressor,"(-0.831, 0.996)","(11.313, 6.155)","(309.814, 440.968)"
Thermal_Conductivity_(mW/m.K),GaussianProcessRegressor,"(-0.371, 0.353)","(11.282, 6.556)","(300.486, 470.057)"
Thermal_Conductivity_(mW/m.K),XGBRegressor,"(0.141, 0.331)","(8.225, 5.583)","(226.072, 359.945)"
Thermal_Conductivity_(mW/m.K),RandomForestRegressor,"(-0.058, 0.756)","(8.734, 5.27)","(222.854, 354.458)"
Thermal_Conductivity_(mW/m.K),Ridge,"(-0.385, 0.411)","(11.233, 6.202)","(275.965, 397.137)"
Thermal_Conductivity_(mW/m.K),Lasso,"(-0.213, 0.272)","(10.629, 6.132)","(266.45, 435.597)"
Thermal_Conductivity_(mW/m.K),ElasticNet,"(-0.404, 0.395)","(11.356, 6.538)","(300.734, 467.238)"
