,,r2,MAE,RMSE
Water_Absorption_%,KNeighborsRegressor,"(0.211, 0.685)","(0.461, 0.155)","(0.387, 0.26)"
Water_Absorption_%,GaussianProcessRegressor,"(0.046, 1.109)","(0.463, 0.13)","(0.409, 0.309)"
Water_Absorption_%,XGBRegressor,"(0.301, 0.881)","(0.397, 0.093)","(0.308, 0.215)"
Water_Absorption_%,RandomForestRegressor,"(0.304, 0.881)","(0.403, 0.102)","(0.296, 0.175)"
Water_Absorption_%,Ridge,"(-0.089, 1.022)","(0.481, 0.094)","(0.423, 0.183)"
Water_Absorption_%,Lasso,"(-0.368, 1.314)","(0.527, 0.115)","(0.538, 0.239)"
Water_Absorption_%,ElasticNet,"(0.035, 0.812)","(0.482, 0.111)","(0.398, 0.166)"
Hardness,KNeighborsRegressor,"(0.463, 0.237)","(12.233, 3.716)","(270.122, 155.048)"
Hardness,GaussianProcessRegressor,"(0.494, 0.3)","(11.949, 4.104)","(255.178, 158.149)"
Hardness,XGBRegressor,"(0.464, 0.42)","(12.086, 5.991)","(293.701, 271.398)"
Hardness,RandomForestRegressor,"(0.561, 0.265)","(11.237, 4.585)","(247.641, 225.222)"
Hardness,Ridge,"(0.498, 0.283)","(11.66, 4.295)","(258.995, 177.827)"
Hardness,Lasso,"(0.515, 0.25)","(11.623, 4.293)","(251.75, 170.784)"
Hardness,ElasticNet,"(0.476, 0.287)","(12.037, 4.224)","(268.719, 182.193)"
Thermal_Conductivity_(mW/m.K),KNeighborsRegressor,"(-3.747, 9.99)","(12.338, 6.061)","(376.575, 437.028)"
Thermal_Conductivity_(mW/m.K),GaussianProcessRegressor,"(-0.371, 0.353)","(11.285, 6.559)","(300.53, 470.099)"
Thermal_Conductivity_(mW/m.K),XGBRegressor,"(-0.239, 0.363)","(10.084, 5.084)","(216.134, 264.272)"
Thermal_Conductivity_(mW/m.K),RandomForestRegressor,"(-0.689, 1.101)","(10.785, 5.881)","(271.753, 398.545)"
Thermal_Conductivity_(mW/m.K),Ridge,"(-0.403, 0.392)","(11.359, 6.544)","(300.612, 466.938)"
Thermal_Conductivity_(mW/m.K),Lasso,"(-0.405, 0.396)","(11.36, 6.535)","(300.74, 467.232)"
Thermal_Conductivity_(mW/m.K),ElasticNet,"(-0.404, 0.395)","(11.356, 6.538)","(300.733, 467.238)"
