,,r2,MAE,RMSE
Water_Absorption_%,KNeighborsRegressor,"(0.437, 0.379)","(0.423, 0.078)","(0.279, 0.112)"
Water_Absorption_%,GaussianProcessRegressor,"(0.545, 0.353)","(0.349, 0.112)","(0.229, 0.172)"
Water_Absorption_%,XGBRegressor,"(0.378, 0.514)","(0.424, 0.085)","(0.291, 0.141)"
Water_Absorption_%,RandomForestRegressor,"(0.325, 0.906)","(0.385, 0.106)","(0.278, 0.177)"
Water_Absorption_%,Ridge,"(0.233, 0.537)","(0.475, 0.109)","(0.382, 0.202)"
Water_Absorption_%,Lasso,"(0.176, 0.679)","(0.473, 0.107)","(0.411, 0.318)"
Water_Absorption_%,ElasticNet,"(0.361, 0.538)","(0.417, 0.102)","(0.298, 0.164)"
Hardness,KNeighborsRegressor,"(0.561, 0.238)","(11.261, 4.536)","(270.084, 275.463)"
Hardness,GaussianProcessRegressor,"(0.517, 0.355)","(10.966, 3.204)","(226.646, 155.934)"
Hardness,XGBRegressor,"(0.484, 0.416)","(12.246, 5.834)","(295.228, 271.596)"
Hardness,RandomForestRegressor,"(0.558, 0.26)","(11.256, 4.565)","(256.414, 238.292)"
Hardness,Ridge,"(0.22, 0.465)","(14.117, 4.385)","(391.965, 308.668)"
Hardness,Lasso,"(0.368, 0.314)","(13.26, 3.753)","(310.649, 180.401)"
Hardness,ElasticNet,"(0.157, 0.728)","(13.985, 4.185)","(392.656, 273.441)"
Thermal_Conductivity_(mW/m.K),KNeighborsRegressor,"(0.003, 0.725)","(9.248, 6.537)","(262.57, 456.392)"
Thermal_Conductivity_(mW/m.K),GaussianProcessRegressor,"(-0.607, 2.108)","(9.755, 7.063)","(298.384, 462.323)"
Thermal_Conductivity_(mW/m.K),XGBRegressor,"(0.141, 0.331)","(8.225, 5.583)","(226.072, 359.945)"
Thermal_Conductivity_(mW/m.K),RandomForestRegressor,"(-0.073, 0.817)","(8.716, 5.386)","(227.371, 357.23)"
Thermal_Conductivity_(mW/m.K),Ridge,"(-0.087, 0.598)","(9.236, 6.358)","(241.266, 427.068)"
Thermal_Conductivity_(mW/m.K),Lasso,"(-0.053, 0.629)","(9.124, 6.198)","(239.485, 433.459)"
Thermal_Conductivity_(mW/m.K),ElasticNet,"(0.05, 0.526)","(8.736, 6.618)","(243.681, 439.969)"
