,,r2,MAE,RMSE
Water_Absorption_%,KNeighborsRegressor,"(0.425, 0.304)","(0.444, 0.103)","(0.305, 0.139)"
Water_Absorption_%,GaussianProcessRegressor,"(0.492, 0.202)","(0.408, 0.111)","(0.29, 0.163)"
Water_Absorption_%,XGBRegressor,"(0.301, 0.881)","(0.397, 0.093)","(0.308, 0.215)"
Water_Absorption_%,RandomForestRegressor,"(0.3, 0.883)","(0.407, 0.096)","(0.297, 0.174)"
Water_Absorption_%,Ridge,"(0.192, 0.552)","(0.513, 0.1)","(0.406, 0.229)"
Water_Absorption_%,Lasso,"(0.214, 0.65)","(0.463, 0.108)","(0.38, 0.283)"
Water_Absorption_%,ElasticNet,"(0.286, 0.581)","(0.448, 0.107)","(0.342, 0.237)"
Hardness,KNeighborsRegressor,"(0.424, 0.37)","(12.577, 4.914)","(342.977, 386.05)"
Hardness,GaussianProcessRegressor,"(0.407, 0.372)","(12.504, 4.354)","(305.806, 240.902)"
Hardness,XGBRegressor,"(0.46, 0.423)","(12.146, 6.017)","(295.676, 272.721)"
Hardness,RandomForestRegressor,"(0.552, 0.266)","(11.403, 4.63)","(253.723, 222.384)"
Hardness,Ridge,"(0.098, 0.612)","(13.989, 3.13)","(418.31, 252.719)"
Hardness,Lasso,"(0.371, 0.317)","(13.04, 3.685)","(308.076, 179.29)"
Hardness,ElasticNet,"(0.125, 0.518)","(14.128, 3.568)","(415.504, 237.928)"
Thermal_Conductivity_(mW/m.K),KNeighborsRegressor,"(-0.685, 0.936)","(11.291, 6.292)","(289.263, 391.747)"
Thermal_Conductivity_(mW/m.K),GaussianProcessRegressor,"(-0.523, 0.474)","(11.621, 6.557)","(312.858, 429.172)"
Thermal_Conductivity_(mW/m.K),XGBRegressor,"(-0.239, 0.363)","(10.084, 5.084)","(216.134, 264.272)"
Thermal_Conductivity_(mW/m.K),RandomForestRegressor,"(-0.723, 1.031)","(10.881, 5.821)","(275.126, 397.356)"
Thermal_Conductivity_(mW/m.K),Ridge,"(-0.483, 0.577)","(11.302, 6.444)","(285.804, 425.88)"
Thermal_Conductivity_(mW/m.K),Lasso,"(-0.405, 0.396)","(11.36, 6.535)","(300.74, 467.232)"
Thermal_Conductivity_(mW/m.K),ElasticNet,"(-0.397, 0.362)","(11.358, 6.543)","(300.427, 466.932)"
