,,r2,MAE,RMSE
Water_Absorption_%,KNeighborsRegressor,"(0.2503924478691088, 0.5055404327685301)","(0.4755029359979409, 0.11214923524404735)","(0.37095096456347537, 0.1568675541933961)"
Water_Absorption_%,GaussianProcessRegressor,"(0.46257815734461005, 0.3456057448055438)","(0.3944380416934076, 0.10779028992076047)","(0.26588984934559134, 0.13493771602076246)"
Water_Absorption_%,XGBRegressor,"(0.3728016123531151, 0.5826975289133872)","(0.4202575858252451, 0.09775010833299876)","(0.28887581019635816, 0.17137481083814124)"
Water_Absorption_%,RandomForestRegressor,"(0.4542418249165407, 0.46552706797287724)","(0.38387092337790474, 0.09737549345079337)","(0.24929716487448544, 0.10062062754513379)"
Water_Absorption_%,Ridge,"(0.005965335814704975, 1.026658466203178)","(0.5206326351377394, 0.1367124926691513)","(0.5419509639214664, 0.6208897099752907)"
Water_Absorption_%,Lasso,"(0.011172305562197726, 0.8486720166138784)","(0.5187587593631214, 0.1398700387581284)","(0.5207266859972186, 0.4767237769322543)"
Water_Absorption_%,ElasticNet,"(0.19208946050646075, 0.5719839966519841)","(0.49485489771091745, 0.14022669462624998)","(0.41235798597286644, 0.25029953908421143)"
Hardness,KNeighborsRegressor,"(0.4605901336328226, 0.3532884574696783)","(12.368955807065834, 3.8536697355412004)","(295.8596518472772, 277.02735115034227)"
Hardness,GaussianProcessRegressor,"(0.5289580746097327, 0.3562450500719294)","(10.445920442260828, 4.021979599182321)","(236.11454599023827, 176.87431962236093)"
Hardness,XGBRegressor,"(0.42688566172589615, 0.40675587482638653)","(12.78588778683988, 5.667042745880526)","(324.4380579046589, 286.7087889315427)"
Hardness,RandomForestRegressor,"(0.4429752314101297, 0.4096607781146539)","(11.996409152568827, 4.785383764279157)","(334.9159029702637, 444.16685101942267)"
Hardness,Ridge,"(0.05099876750250161, 0.6928894517704917)","(15.516803680012941, 4.1776533277507)","(476.40233692541517, 332.8140792163916)"
Hardness,Lasso,"(0.24575435104453663, 0.44904550895323136)","(14.224721311336788, 4.461021485138985)","(373.99252318343605, 243.34368738281023)"
Hardness,ElasticNet,"(-0.02032627614210858, 1.10053879693331)","(15.01837999576612, 5.424768462509471)","(480.6539814983297, 410.7540864653615)"
Thermal_Conductivity_(mW/m.K),KNeighborsRegressor,"(-0.3707810811047282, 1.1602584188299152)","(9.178361944345895, 6.221921009615493)","(260.0154495276694, 444.0030772633569)"
Thermal_Conductivity_(mW/m.K),GaussianProcessRegressor,"(0.02057661522846409, 0.6410378987311736)","(8.714256215063998, 6.725918824963946)","(262.4706372910173, 464.4836240035485)"
Thermal_Conductivity_(mW/m.K),XGBRegressor,"(0.287605070874433, 0.3323977539284259)","(7.765314467313333, 6.028448331040506)","(227.29825327922032, 412.6774403071091)"
Thermal_Conductivity_(mW/m.K),RandomForestRegressor,"(-0.15100902939423078, 0.7559533294180035)","(8.756884104319187, 5.771405433918991)","(245.7075622564737, 401.6839014522307)"
Thermal_Conductivity_(mW/m.K),Ridge,"(0.021567142294036657, 0.5038869347787666)","(9.102332906464854, 6.233799976441745)","(245.40853063048476, 429.98110525132347)"
Thermal_Conductivity_(mW/m.K),Lasso,"(0.22777847709915985, 0.4296993408692893)","(7.94091032040006, 6.373652378109546)","(236.53312937942968, 449.2794831494656)"
Thermal_Conductivity_(mW/m.K),ElasticNet,"(0.2063015634274617, 0.45239577882804977)","(8.008268927866553, 6.449958556621268)","(237.9262167201633, 449.03727196554127)"
