,,r2,MAE,RMSE
Water_Absorption_%,KNeighborsRegressor,"(0.35668468929627456, 0.5113295463620032)","(0.4424364090299818, 0.11127262585661925)","(0.3113048902331486, 0.12488292291784923)"
Water_Absorption_%,GaussianProcessRegressor,"(0.5155191921622362, 0.37888840072299784)","(0.3591646347071845, 0.11255908138918835)","(0.22293479358150647, 0.13671052498975061)"
Water_Absorption_%,XGBRegressor,"(0.39374519556593957, 0.5568089054809521)","(0.4181893361608283, 0.09678447871054695)","(0.28126337551358965, 0.15203316218666288)"
Water_Absorption_%,RandomForestRegressor,"(0.3699724873482192, 0.8600164411319724)","(0.3630874316222271, 0.11231894830063792)","(0.2570675402171758, 0.17974272343572126)"
Water_Absorption_%,Ridge,"(0.19672681655498953, 0.5680292970017179)","(0.49619628650147646, 0.10705911160441321)","(0.412179955964163, 0.2708742541449148)"
Water_Absorption_%,Lasso,"(0.1643874013665382, 0.569240848615973)","(0.5104302211953705, 0.13257977702158807)","(0.42665249244522235, 0.24045450034850033)"
Water_Absorption_%,ElasticNet,"(0.19671918156040896, 0.5519074367398653)","(0.49806843976526743, 0.14099282886433964)","(0.4125387904499986, 0.24104447266811094)"
Hardness,KNeighborsRegressor,"(0.4285683683240459, 0.26591065348077686)","(12.530336993783227, 4.518089787227247)","(321.80673285293386, 307.8415602513316)"
Hardness,GaussianProcessRegressor,"(0.47047643898175, 0.2894582190202116)","(12.087440448081257, 2.988467909953387)","(244.07113305941212, 122.1375457945351)"
Hardness,XGBRegressor,"(0.3867597528010751, 0.497282938007627)","(12.973008048673899, 6.801439895244771)","(390.0345025555181, 431.6525382149971)"
Hardness,RandomForestRegressor,"(0.3677237027165384, 0.46454486208170315)","(12.849361687193815, 5.052955700871164)","(358.5755774197214, 408.7591126674782)"
Hardness,Ridge,"(0.10713486031880878, 0.5470183547932188)","(15.250458744615235, 4.301399017468365)","(459.35124469764617, 327.7974091982744)"
Hardness,Lasso,"(0.423990875858743, 0.33615603513836434)","(12.185516143363715, 4.454683155431022)","(290.95865520474894, 205.30681262185112)"
Hardness,ElasticNet,"(0.37027230128354904, 0.32659336508884873)","(12.858612915729035, 4.70171308667463)","(330.9085210958425, 248.33110517784377)"
Thermal_Conductivity_(mW/m.K),KNeighborsRegressor,"(-0.508173971136679, 1.0475734160860242)","(10.2873635081779, 6.223445393017576)","(259.72129283101674, 400.46409185731466)"
Thermal_Conductivity_(mW/m.K),GaussianProcessRegressor,"(-0.1503594039286551, 0.5035668839418893)","(9.915098827833855, 6.212913721792361)","(253.85622928756774, 407.3478620282599)"
Thermal_Conductivity_(mW/m.K),XGBRegressor,"(0.24011469771604294, 0.4079223137632013)","(7.853866414291117, 5.942377460827119)","(217.4172465394547, 382.6172515694069)"
Thermal_Conductivity_(mW/m.K),RandomForestRegressor,"(-0.4024960288196845, 0.8565731887634138)","(9.964753928358942, 5.576513279840428)","(268.731352778427, 400.96943152469964)"
Thermal_Conductivity_(mW/m.K),Ridge,"(-0.04442891458754551, 0.6097518248513542)","(9.159833756309556, 6.140442429724353)","(227.26985699623683, 368.3784538631888)"
Thermal_Conductivity_(mW/m.K),Lasso,"(-0.258124319636435, 0.48406053777416086)","(10.039013100181123, 5.728456878163568)","(264.2111906858685, 418.152985344995)"
Thermal_Conductivity_(mW/m.K),ElasticNet,"(0.007109454500647749, 0.6305468739368549)","(8.56224656994226, 6.518734633600051)","(243.65586530482693, 427.53181095518585)"
